Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Clayton city,"11,070","5,284","5,786",48.6,47.3,49.7,N/A,N/A,481,"2,277","8,369","4,400","3,408","2,456",52.3%,20.6%,,1600000US0613882,
Clyde CDP,729,355,374,42.5,42.2,42.6,N/A,N/A,35,122,585,263,185,119,51.3%,16.7%,,1600000US0614232,
Concord city,"125,410","61,945","63,465",39.5,38.3,40.8,N/A,N/A,"7,153","25,899","95,356","37,301","28,545","20,402",50.6%,20.7%,,1600000US0616000,
Contra Costa Centre CDP,"6,808","3,321","3,487",34.6,34.7,34.4,N/A,N/A,385,935,"5,765","1,356","1,017",675,51.2%,13.7%,,1600000US0616090,
Crockett CDP,"3,242","1,559","1,683",46.6,44.2,48.6,N/A,N/A,131,452,"2,728","1,279",994,714,51.9%,13.9%,,1600000US0617274,
Danville town,"43,582","21,060","22,522",46.0,44.9,46.9,N/A,N/A,"1,793","10,574","31,342","15,570","11,766","8,564",51.7%,24.3%,,1600000US0617988,
Diablo CDP,"1,255",639,616,49.8,49.7,49.9,N/A,N/A,46,268,932,493,404,259,49.1%,21.4%,,1600000US0619150,
Discovery Bay CDP,"15,358","7,716","7,642",43.9,43.2,44.5,N/A,N/A,781,"3,458","11,374","5,135","3,784","2,668",49.8%,22.5%,,1600000US0619339,
East Richmond Heights CDP,"3,460","1,681","1,779",47.0,45.4,48.3,N/A,N/A,170,604,"2,778","1,368","1,094",830,51.4%,17.5%,,1600000US0621061,
El Cerrito city,"25,962","12,612","13,350",42.6,41.0,44.1,N/A,N/A,"1,327","4,639","20,774","8,597","6,945","5,293",51.4%,17.9%,,1600000US0621796,
El Sobrante CDP,"15,524","7,671","7,853",40.8,40.0,41.6,N/A,N/A,784,"2,983","12,057","4,863","3,725","2,597",50.6%,19.2%,,1600000US0622454,
Hercules city,"26,016","12,493","13,523",42.4,40.7,44.2,N/A,N/A,"1,263","4,961","20,247","8,718","6,756","4,772",52.0%,19.1%,,1600000US0633308,
Kensington CDP,"5,428","2,542","2,886",50.5,49.4,51.6,N/A,N/A,227,959,"4,328","2,361","1,955","1,566",53.2%,17.7%,,1600000US0638086,
Knightsen CDP,"1,596",832,764,40.7,41.8,39.7,N/A,N/A,68,349,"1,181",531,385,251,47.9%,21.9%,,1600000US0638772,
Lafayette city,"25,391","12,423","12,968",45.2,44.9,45.6,N/A,N/A,"1,176","6,168","18,478","8,979","7,152","5,394",51.1%,24.3%,,1600000US0639122,
Martinez city,"37,287","18,174","19,113",42.9,41.2,44.6,N/A,N/A,"1,924","7,180","28,989","12,743","9,738","6,827",51.3%,19.3%,,1600000US0646114,
Montalvin Manor CDP,"3,099","1,532","1,567",38.3,36.5,39.8,N/A,N/A,158,685,"2,275",895,694,501,50.6%,22.1%,,1600000US0648718,
Moraga town,"16,870","8,108","8,762",42.9,42.1,43.5,N/A,N/A,667,"3,688","11,590","5,579","4,458","3,383",51.9%,21.9%,,1600000US0649187,
Mountain View CDP,"2,622","1,337","1,285",38.5,38.2,39.0,N/A,N/A,140,571,"1,969",728,516,339,49.0%,21.8%,,1600000US0649651,
Norris Canyon CDP,"1,313",675,638,42.8,43.1,42.5,N/A,N/A,45,358,887,342,215,141,48.6%,27.3%,,1600000US0651622,
North Gate CDP,667,316,351,53.6,52.8,54.4,N/A,N/A,26,114,533,312,230,157,52.6%,17.1%,,1600000US0651890,
North Richmond CDP,"4,175","2,106","2,069",31.6,30.9,32.3,N/A,N/A,279,"1,176","2,798",682,481,330,49.6%,28.2%,,1600000US0652162,
Oakley city,"43,357","21,251","22,106",35.6,34.7,36.6,N/A,N/A,"2,782","11,588","29,944","10,094","7,246","4,778",51.0%,26.7%,,1600000US0653070,
Orinda city,"19,514","9,586","9,928",46.6,46.0,47.3,N/A,N/A,"1,003","4,859","14,079","7,330","5,875","4,557",50.9%,24.9%,,1600000US0654232,
