County,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income,TotalDeaths,TotalCases,prop_hpsa,nonwhite_prop,Rating,Deaths,DeathsperThou,unempl_prop,poverty_prop,prop55older,Cases,HospNumber,CasesperThou
Napa,138019,67777,70242,42.9,41.3,44.4,6139,27546,105537,47661,38053,28688,50.9,NA,0,487,2549,47783,11732,3431,373,68225,11814,72000,2600,94127,180,4218,0,0.5056840000289815,Worse,0,0,0.03611111111111111,0.0855969105702838,0.345322020881183,0,3,0
Orange,3186989,1563452,1623537,39,37.6,40.3,156601,667331,2381657,912040,695534,501104,50.9,20.9,85,6127,54025,1067103,701414,91338,8683,1211785,309402,1592500,62600,100210,2036,71900,0.49707602339181284,0.6197712009674335,As Expected,1878,0.5892709388077587,0.039309262166405026,0.09708285783226739,0.2861760740310054,63651,2249,19.972142985118555
Orange,3186989,1563452,1623537,39,37.6,40.3,156601,667331,2381657,912040,695534,501104,50.9,20.9,85,6127,54025,1067103,701414,91338,8683,1211785,309402,1592500,62600,100210,2036,71900,0.49707602339181284,0.6197712009674335,Better,138,0.043301059401209104,0.039309262166405026,0.09708285783226739,0.2861760740310054,8083,174,2.5362497328983564
Orange,3186989,1563452,1623537,39,37.6,40.3,156601,667331,2381657,912040,695534,501104,50.9,20.9,85,6127,54025,1067103,701414,91338,8683,1211785,309402,1592500,62600,100210,2036,71900,0.49707602339181284,0.6197712009674335,Worse,20,0.006275515855247696,0.039309262166405026,0.09708285783226739,0.2861760740310054,166,70,0.05208678159855588
Placer,404739,196942,207797,42.4,41,43.8,20691,91622,299162,137262,109559,82923,51.3,22.6,10,2232,7611,62605,36534,16369,940,286753,26816,195700,7800,103588,603,15515,0.3125,0.2915113196405585,As Expected,409,1.0105277722186397,0.0398569238630557,0.0662550433736309,0.33913707352145456,11138,324,27.51896901459953
Placer,404739,196942,207797,42.4,41,43.8,20691,91622,299162,137262,109559,82923,51.3,22.6,10,2232,7611,62605,36534,16369,940,286753,26816,195700,7800,103588,603,15515,0.3125,0.2915113196405585,Better,26,0.0642389292852925,0.0398569238630557,0.0662550433736309,0.33913707352145456,1248,18,3.0834686056940397
Placer,404739,196942,207797,42.4,41,43.8,20691,91622,299162,137262,109559,82923,51.3,22.6,10,2232,7611,62605,36534,16369,940,286753,26816,195700,7800,103588,603,15515,0.3125,0.2915113196405585,Worse,168,0.41508231230496695,0.0398569238630557,0.0662550433736309,0.33913707352145456,3129,16,7.7309080666800085
Riverside,2418185,1199118,1219067,36.8,35.8,37.9,139284,594680,1715512,665267,512874,370792,50.4,24.6,110,11350,153510,1258192,168829,60089,7620,788052,282068,1143100,61800,78690,1481,63954,0.6875,0.674114263383488,As Expected,1279,0.5289090785030922,0.05406351150380544,0.11664450817451932,0.27511005154692464,50990,1614,21.086062480744857
Riverside,2418185,1199118,1219067,36.8,35.8,37.9,139284,594680,1715512,665267,512874,370792,50.4,24.6,110,11350,153510,1258192,168829,60089,7620,788052,282068,1143100,61800,78690,1481,63954,0.6875,0.674114263383488,Better,172,0.07112772595975908,0.05406351150380544,0.11664450817451932,0.27511005154692464,12417,66,5.134842867687956
Riverside,2418185,1199118,1219067,36.8,35.8,37.9,139284,594680,1715512,665267,512874,370792,50.4,24.6,110,11350,153510,1258192,168829,60089,7620,788052,282068,1143100,61800,78690,1481,63954,0.6875,0.674114263383488,Worse,30,0.012405998713911466,0.05406351150380544,0.11664450817451932,0.27511005154692464,547,52,0.2262027098836524
Sacramento,1585055,774787,810268,36.9,35.7,38.2,93714,367746,1157501,432089,332185,237649,51.1,23.2,0,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611,1653,58222,0,0.5823823148092653,As Expected,1480,0.9337215427855815,0.046945162607157434,0.12833182444773208,0.2726018970950535,51294,970,32.36102217273218
Sacramento,1585055,774787,810268,36.9,35.7,38.2,93714,367746,1157501,432089,332185,237649,51.1,23.2,0,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611,1653,58222,0,0.5823823148092653,Better,70,0.044162505402020755,0.046945162607157434,0.12833182444773208,0.2726018970950535,4680,41,2.9525789325922442
Sacramento,1585055,774787,810268,36.9,35.7,38.2,93714,367746,1157501,432089,332185,237649,51.1,23.2,0,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611,1653,58222,0,0.5823823148092653,Worse,103,0.06498197223440196,0.046945162607157434,0.12833182444773208,0.2726018970950535,2248,37,1.4182473163391807
San Bernardino,2181654,1078849,1102805,34.9,33.7,36,135299,552612,1532953,538762,403345,277924,50.5,25.3,191,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218,1490,65377,0.6345514950166113,0.7438397656090288,As Expected,1182,0.5417907697554241,0.051030618371022615,0.13085209662027067,0.2469511664086056,52777,1406,24.191278727057544
San Bernardino,2181654,1078849,1102805,34.9,33.7,36,135299,552612,1532953,538762,403345,277924,50.5,25.3,191,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218,1490,65377,0.6345514950166113,0.7438397656090288,Better,46,0.021084919973561343,0.051030618371022615,0.13085209662027067,0.2469511664086056,6748,101,3.0930660865563464
